AIRA Daily Helpdesk Report|Scheduler Event||Before Insert||Daily|0|9414|2026-04-28 13:56|2026-04-29 11:48|mohan@bitssecureit.com
AIRA Daily Sales Intelligence Report|Scheduler Event||Before Insert||Cron|0|26993|2026-05-08 20:42|2026-05-09 10:57|mohan@bitssecureit.com
AIRA Helpdesk Report API|API||Before Insert|aira_helpdesk_report_api|All|0|4274|2026-04-28 16:01|2026-09-11 18:34|Administrator
AIRA Helpdesk Report Test|API||Before Insert|aira_helpdesk_report_test|All|1|7167|2026-04-28 13:59|2026-09-10 15:58|Administrator
aira_ai_gateway|API||Before Insert|aira_ai_gateway|All|0|8124|2026-05-20 08:08|2026-09-11 18:34|Administrator
aira_cap_probe|API||Before Insert|aira_cap_probe|All|1|712|2026-08-15 16:21|2026-08-15 17:02|mohan@bitssecureit.com
aira_gateway_status_update|API||Before Insert|aira_gateway_status_update|All|0|998|2026-05-31 12:15|2026-09-11 18:34|Administrator
aira_helpdesk_report_api|API||Before Insert|aira_helpdesk_report_api|All|1|6977|2026-04-29 12:56|2026-05-10 09:22|mohan@bitssecureit.com
aira_sales_report_test|API||Before Insert|aira_sales_report_test|All|1|1747|2026-05-08 21:17|2026-09-10 15:58|Administrator
aira_scheduler_attention_required|API||Before Insert|aira_scheduler_attention_required|All|0|9789|2026-08-24 15:52|2026-09-11 18:34|Administrator
aira_scheduler_daily_schedule|API||Before Insert|aira_scheduler_daily_schedule|All|0|12454|2026-08-24 13:50|2026-09-11 18:34|Administrator
assign_quotation_to_user|API||Before Insert|assign_quotation_to_user|All|0|1427|2026-05-08 15:56|2026-09-11 18:34|Administrator
attendance_api|API||Before Insert|attendance_api|All|1|3861|2026-06-09 20:53|2026-08-18 12:41|mohan@bitssecureit.com
Block Duplicate Deal Cost Sheet|DocType Event|Deal Cost Sheet|Before Save||All|1|2521|2026-05-07 11:07|2026-09-11 16:28|Administrator
Block Duplicate Quotation|DocType Event|Quotation|Before Insert||All|1|915|2026-05-07 11:08|2026-05-08 09:56|mohan@bitssecureit.com
bsi_communication_classifier|DocType Event|Communication|Before Insert||All|1|3237|2026-05-10 20:14|2026-05-10 20:28|mohan@bitssecureit.com
bsi_lead_after_insert_dispatch|DocType Event|Lead|After Insert||All|1|1479|2026-05-10 20:14|2026-05-10 20:37|mohan@bitssecureit.com
bsi_lead_enricher_pre|DocType Event|Lead|Before Insert||All|1|2202|2026-05-10 20:14|2026-05-10 20:28|mohan@bitssecureit.com
bsi_zoho_import_invoice|API||Before Insert|bsi_zoho_import_invoice|All|0|8119|2026-05-12 09:38|2026-09-11 18:34|Administrator
bsip_db_count_probe|API||Before Insert|bsip_db_count_probe|All|1|2120|2026-07-31 21:02|2026-07-31 21:03|mohan@bitssecureit.com
bsip_eng002_timing_probe|API||Before Insert|bsip_eng002_timing_probe|All|1|3497|2026-08-01 23:16|2026-08-01 23:16|mohan@bitssecureit.com
bsip_met004_vocab_probe|API||Before Insert|bsip_met004_vocab_probe|All|1|5251|2026-07-31 22:58|2026-07-31 22:59|mohan@bitssecureit.com
bsip_met005_json_probe|API||Before Insert|bsip_met005_json_probe|All|1|3660|2026-08-01 20:03|2026-08-01 20:04|mohan@bitssecureit.com
bsip_met005_vocab_probe|API||Before Insert|bsip_met005_vocab_probe|All|1|7066|2026-08-01 19:13|2026-08-01 19:13|mohan@bitssecureit.com
